epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,413.77,2.64883,15.7992,3.36179,0.05674,0.17998,0.08991,0.07629,1.78452,16.9524,2.66175,0.0002175,0.0002175,0.0002175
2,815.579,2.16477,8.0596,2.78684,0.20419,0.3522,0.1752,0.12636,2.01933,12.6965,2.79766,0.000435479,0.000435479,0.000435479
3,1217.77,2.09376,6.24881,2.62618,0.18729,0.54515,0.24214,0.14909,1.94405,9.81019,2.62112,0.000649056,0.000649056,0.000649056
4,1619.22,2.13706,5.39945,2.65128,0.15553,0.4869,0.2566,0.19198,1.66984,5.61122,2.43469,0.00064719,0.00064719,0.00064719
5,2072.17,2.09472,4.69261,2.57221,0.42154,0.35068,0.31665,0.2018,1.99138,5.06921,2.67202,0.000640587,0.000640587,0.000640587
6,2510.22,1.97314,4.39862,2.46796,0.4754,0.47718,0.49422,0.39383,1.63891,4.90277,2.40617,0.000633983,0.000633983,0.000633983
7,2957.87,1.92599,4.07689,2.42196,0.37332,0.50093,0.39462,0.29454,1.63859,3.83223,2.3886,0.00062738,0.00062738,0.00062738
8,3391.4,1.94742,3.86591,2.4714,0.52426,0.62244,0.56863,0.44712,1.71994,4.12468,2.44248,0.000620777,0.000620777,0.000620777
9,3875.26,1.78309,3.67673,2.35276,0.71301,0.54995,0.62583,0.49838,1.55622,3.19583,2.3185,0.000614174,0.000614174,0.000614174
10,4318.16,1.87704,3.55718,2.35788,0.50592,0.67485,0.69685,0.56275,1.48848,2.90803,2.19814,0.00060757,0.00060757,0.00060757
11,4890.6,1.85766,3.33025,2.31001,0.51532,0.70641,0.66686,0.53597,1.47003,2.7655,2.25208,0.000600967,0.000600967,0.000600967
12,5478.21,1.90017,3.34877,2.41898,0.49322,0.72381,0.67131,0.55394,1.51728,2.94683,2.23453,0.000594364,0.000594364,0.000594364
13,6071.09,1.78699,3.04894,2.33639,0.67178,0.65265,0.70966,0.57656,1.58474,2.48989,2.28792,0.00058776,0.00058776,0.00058776
14,6659.41,1.82836,3.21543,2.36616,0.61573,0.69304,0.69017,0.54892,1.58869,3.05272,2.19,0.000581157,0.000581157,0.000581157
15,7242.8,1.84984,3.29033,2.3797,0.53806,0.71372,0.74245,0.60879,1.45176,2.61831,2.19625,0.000574554,0.000574554,0.000574554
16,7818.34,1.8582,3.07225,2.34062,0.63599,0.60351,0.65449,0.542,1.48331,2.97171,2.13671,0.00056795,0.00056795,0.00056795
17,8406.16,1.7552,2.99814,2.27563,0.5485,0.76045,0.637,0.55143,1.39968,2.63613,2.06117,0.000561347,0.000561347,0.000561347
18,8992.04,1.70203,2.97719,2.2634,0.51612,0.72474,0.74316,0.60718,1.71684,2.50855,2.31632,0.000554744,0.000554744,0.000554744
19,9576.92,1.72311,2.90192,2.29102,0.63706,0.73039,0.77699,0.63574,1.44039,2.64853,2.08257,0.000548141,0.000548141,0.000548141
20,10163.3,1.72224,2.88651,2.25321,0.63458,0.78741,0.82651,0.7,1.41901,1.97377,2.14751,0.000541537,0.000541537,0.000541537
21,10817.8,1.67254,2.62723,2.25758,0.68142,0.77632,0.81403,0.67486,1.41415,1.94659,2.11524,0.000534934,0.000534934,0.000534934
22,11552.3,1.65993,2.65136,2.23579,0.69923,0.70583,0.76953,0.67021,1.35514,2.05298,2.06607,0.000528331,0.000528331,0.000528331
23,12413,1.67809,2.79142,2.22569,0.63501,0.68116,0.73625,0.61867,1.37141,2.29819,2.00332,0.000521727,0.000521727,0.000521727
24,13330.3,1.58303,2.55332,2.16787,0.62124,0.83872,0.81604,0.69989,1.29955,1.9951,1.98854,0.000515124,0.000515124,0.000515124
25,14255.2,1.64755,2.72803,2.20828,0.65429,0.77912,0.77233,0.65925,1.28516,1.99216,1.9871,0.000508521,0.000508521,0.000508521
26,44559.1,1.58591,2.4841,2.15968,0.75487,0.80922,0.85875,0.73875,1.38762,1.68195,1.98294,0.000501917,0.000501917,0.000501917
27,45032,1.54859,2.46799,2.13582,0.83597,0.8268,0.88269,0.75222,1.3329,1.57866,1.99571,0.000495314,0.000495314,0.000495314
28,45502,1.57242,2.46343,2.18292,0.73414,0.82265,0.86841,0.75111,1.30789,1.74733,2.00985,0.000488711,0.000488711,0.000488711
29,45941.7,1.56823,2.35899,2.17525,0.8395,0.76331,0.86269,0.75432,1.21631,1.63135,1.93833,0.000482108,0.000482108,0.000482108
30,46410.1,1.49517,2.26084,2.12133,0.73092,0.75645,0.83318,0.71334,1.21237,1.85329,1.91578,0.000475504,0.000475504,0.000475504
31,46867.9,1.45763,2.26901,2.083,0.64348,0.77073,0.81578,0.70819,1.25263,1.96496,1.94008,0.000468901,0.000468901,0.000468901
32,47321,1.4682,2.27947,2.10487,0.82105,0.71758,0.84184,0.70347,1.46958,1.70837,2.09156,0.000462298,0.000462298,0.000462298
33,47782.1,1.61835,2.25899,2.19783,0.75321,0.86324,0.86958,0.7387,1.29398,1.69484,2.00454,0.000455694,0.000455694,0.000455694
34,48240.1,1.44153,2.13969,2.10782,0.79409,0.83885,0.85642,0.73302,1.23696,1.46974,1.97326,0.000449091,0.000449091,0.000449091
35,48608,1.51137,2.04865,2.11981,0.81084,0.73913,0.84201,0.73855,1.20125,1.9159,1.92079,0.000442488,0.000442488,0.000442488
36,48972.3,1.44919,2.02509,2.10025,0.80722,0.7236,0.85248,0.73809,1.20548,1.66435,1.91526,0.000435884,0.000435884,0.000435884
37,49327.3,1.4334,1.99703,2.11669,0.86008,0.79357,0.88685,0.77037,1.17887,1.53099,1.91584,0.000429281,0.000429281,0.000429281
38,49684.9,1.45558,2.09076,2.12741,0.7522,0.82156,0.86556,0.74297,1.21185,1.57876,1.93231,0.000422678,0.000422678,0.000422678
39,50043.4,1.35256,1.91426,2.04592,0.6763,0.81881,0.79547,0.67581,1.34114,1.65659,2.0593,0.000416075,0.000416075,0.000416075
40,50401.3,1.40085,1.98014,2.09101,0.78352,0.78962,0.85931,0.73978,1.30102,1.70849,2.02661,0.000409471,0.000409471,0.000409471
41,50774.1,1.40883,1.98501,2.07875,0.87911,0.82311,0.89374,0.77929,1.18024,1.36032,1.90014,0.000402868,0.000402868,0.000402868
42,51161.6,1.38635,1.90855,2.0881,0.78762,0.87229,0.90358,0.79021,1.21008,1.42067,1.90983,0.000396265,0.000396265,0.000396265
43,51642.1,1.38011,1.99399,2.08481,0.89388,0.8482,0.90539,0.78547,1.17258,1.20314,1.90038,0.000389661,0.000389661,0.000389661
44,52092.5,1.36217,1.95476,2.07299,0.84516,0.81927,0.90408,0.76963,1.23277,1.41179,1.98041,0.000383058,0.000383058,0.000383058
45,52561.6,1.29619,1.80497,2.04425,0.88409,0.77224,0.90062,0.78592,1.18785,1.39586,1.9538,0.000376455,0.000376455,0.000376455
46,53032.9,1.33353,1.81835,2.05867,0.79479,0.84633,0.89196,0.75835,1.31591,1.47625,1.96693,0.000369851,0.000369851,0.000369851
47,53603,1.32532,1.85971,2.03732,0.82021,0.84915,0.8726,0.76784,1.17152,1.45633,1.90765,0.000363248,0.000363248,0.000363248
48,54148,1.32842,1.74745,2.04703,0.75997,0.80752,0.85859,0.75588,1.19305,1.4917,1.93478,0.000356645,0.000356645,0.000356645
49,54607.9,1.30006,1.79261,2.01957,0.80937,0.81938,0.87799,0.76559,1.1984,1.49978,1.92263,0.000350042,0.000350042,0.000350042
50,55041,1.27845,1.6979,2.01952,0.81494,0.87759,0.88927,0.78147,1.14057,1.31993,1.90008,0.000343438,0.000343438,0.000343438
51,55510.4,1.30661,1.74968,2.03431,0.79653,0.8981,0.88155,0.76485,1.23163,1.26353,1.92879,0.000336835,0.000336835,0.000336835
52,55923.9,1.29739,1.71899,2.03935,0.82555,0.88462,0.90648,0.80888,1.10582,1.28345,1.86169,0.000330232,0.000330232,0.000330232
53,56378.2,1.29058,1.60471,2.01181,0.84033,0.86788,0.91881,0.81255,1.18072,1.24042,1.91212,0.000323628,0.000323628,0.000323628
54,56816.4,1.25392,1.668,2.02597,0.84778,0.85883,0.90065,0.78667,1.19986,1.28769,1.92171,0.000317025,0.000317025,0.000317025
55,57226.9,1.23854,1.58106,2.00179,0.8753,0.86038,0.90262,0.80027,1.13855,1.2619,1.87436,0.000310422,0.000310422,0.000310422
56,57613.1,1.24561,1.67765,2.01254,0.82908,0.85839,0.89718,0.79319,1.15438,1.29601,1.90648,0.000303818,0.000303818,0.000303818
57,58004.1,1.15954,1.56246,1.96641,0.83137,0.83397,0.87902,0.77874,1.15371,1.34891,1.91594,0.000297215,0.000297215,0.000297215
58,58392,1.1951,1.516,1.98268,0.83247,0.84193,0.88658,0.7726,1.17181,1.31669,1.89807,0.000290612,0.000290612,0.000290612
59,58779.6,1.17341,1.54619,1.9702,0.84324,0.85723,0.88563,0.76931,1.16875,1.30987,1.92302,0.000284009,0.000284009,0.000284009
60,59191.7,1.1782,1.60296,1.95021,0.81859,0.83113,0.85897,0.76881,1.05775,1.54721,1.84147,0.000277405,0.000277405,0.000277405
61,59582.5,1.16908,1.57965,1.9886,0.87152,0.89598,0.90812,0.8071,1.14718,1.12327,1.89308,0.000270802,0.000270802,0.000270802
62,59975.1,1.16495,1.51243,1.97229,0.79755,0.90974,0.92029,0.81718,1.15697,1.19835,1.90364,0.000264199,0.000264199,0.000264199
63,60389.2,1.10441,1.41568,1.93664,0.86261,0.89648,0.92298,0.82758,1.0368,1.10959,1.82814,0.000257595,0.000257595,0.000257595
64,60783.8,1.13351,1.4452,1.95156,0.85265,0.91756,0.92891,0.82836,1.08643,1.13391,1.86261,0.000250992,0.000250992,0.000250992
65,61166.6,1.12846,1.4346,1.9665,0.87022,0.86269,0.91749,0.81354,1.17743,1.20002,1.91918,0.000244389,0.000244389,0.000244389
66,61557.2,1.12319,1.39202,1.94492,0.81269,0.89422,0.92645,0.82712,1.01527,1.15324,1.83658,0.000237785,0.000237785,0.000237785
67,61959.3,1.07501,1.29401,1.91295,0.85387,0.87536,0.90874,0.81366,1.06705,1.16083,1.85578,0.000231182,0.000231182,0.000231182
68,62338.7,1.06784,1.37451,1.92184,0.80364,0.90313,0.92526,0.82394,1.05941,1.22494,1.84339,0.000224579,0.000224579,0.000224579
69,62714.4,1.06793,1.35275,1.89568,0.90473,0.8338,0.91275,0.79828,1.17154,1.29009,1.92385,0.000217976,0.000217976,0.000217976
70,63088.8,1.10775,1.41171,1.95178,0.85666,0.89776,0.92654,0.8336,1.02434,1.13415,1.85631,0.000211372,0.000211372,0.000211372
71,63469.2,1.14801,1.46288,1.98165,0.88276,0.92165,0.93195,0.83673,1.04908,1.12914,1.85513,0.000204769,0.000204769,0.000204769
72,63850.2,1.0741,1.27205,1.94159,0.80839,0.87645,0.89641,0.79924,1.12891,1.39936,1.89615,0.000198166,0.000198166,0.000198166
73,64227.6,1.08019,1.30669,1.9457,0.87365,0.9068,0.92864,0.8218,1.12052,1.11481,1.9015,0.000191562,0.000191562,0.000191562
74,64617.7,1.06151,1.2982,1.96003,0.87385,0.82819,0.90425,0.81141,1.08856,1.23612,1.88229,0.000184959,0.000184959,0.000184959
75,65005.4,1.0863,1.32562,1.96549,0.84464,0.90829,0.91103,0.82313,1.03594,1.08836,1.84976,0.000178356,0.000178356,0.000178356
76,65379.1,1.03605,1.28195,1.90051,0.89104,0.91504,0.91304,0.80824,1.12239,1.03898,1.91133,0.000171752,0.000171752,0.000171752
77,65767.2,1.04532,1.34321,1.91577,0.85972,0.91646,0.9112,0.81721,0.98337,1.05691,1.83351,0.000165149,0.000165149,0.000165149
78,66154.8,1.02406,1.30968,1.91189,0.91882,0.85425,0.92656,0.83033,1.05291,1.07567,1.85766,0.000158546,0.000158546,0.000158546
79,66534.3,1.08348,1.34862,1.95704,0.89039,0.82956,0.92278,0.82626,1.01537,1.126,1.85436,0.000151943,0.000151943,0.000151943
